pace vi.(马)溜蹄走
pacific a.性情温和的
pal n.好朋友;同谋
pamphlet n.小册子
panel n.(选定的)专门小组
panic n.恐慌，惊慌
pant vi.气喘
panther n.豹，黑豹;美洲狮
pantry n.食品柜，餐具室
pants n.裤子;男用短衬裤
paper vt.用纸包装(或覆盖)
parachute n.降落伞;风散种子
parade vt.夸耀(才能等)
paragraph n.小新闻，短评
paralyse vt.使麻痹，使瘫痪
parameter n.参(变)数;参量
participant n.参加者 a.有份的
participate vi.参与 vt.分享
particular a.苛求的;特称的
partition n.分开，分割;融墙
passport n.达到目的的手段
pasture n.牧场;牲畜饲养
patent a.专利的 n.专利
pathetic a.哀婉动人的;可怜的
patriot n.爱国者，爱国主义者
patriotic a.爱国的
patrol n.巡逻 n.巡逻，巡查
patron n.庇护人;赞助人
pattern vt.仿制，仿造，模仿
peacock n.孔雀
peak n.(物体的)尖端
peck vt.&vi.啄，啄起
peculiarity n.特性，独特性;怪癖
pedal n.踏脚，踏板，脚蹬
pedestrian n.行人，步行者
pedlar n.(挨户兜售的)小贩
peel n.果皮，蔬菜皮
peer vi.凝视;隐约出现
penalty n.处罚，刑罚;罚款
penetration n.穿入;渗透，侵入
pendulum n.(钟等的)摆
perception n.感觉;概念;理解力
perch n.(禽鸟的)栖木
perfect vt.使熟练，使改善
perfection n.尽善尽美;无比精确
peril n.危机;危险的事物
perimeter n.周(边)，周长
periodic n.周期的;一定时期的
periodical n.期刊，杂志
peripheral a.周界的;末梢的
perish vi.死亡，夭折;枯萎
perpendicular a.垂直的 n.垂直(线)
perpetual a.永久的;四季开花的
perplex vt.迷惑，困惑，难住
persecute vt.迫害，残害
persevere vi.坚持，不屈不挠
persist vi.持续，存留
persistence n.坚持;持续，存留
personality n.人格，个性;人物
personnel n.人事部门
persuasion n.劝说，说服;主张
pertinent a.恰当的;有关的
pest n.害虫;害人虫
petition n.请愿 vt.向…请愿
petty a.细小的;器量小的
photoelectric a.光电的
photography n.摄影术
physically ad.物质上;体格上
pickle n.腌制食品，泡菜
pier n.(桥)墩;码头
pierce vt.穿透，戳穿，洞察
pilgrim n.香客，朝圣者
pineapple n.凤梨，波萝
pious a.虔诚的;虔奉宗教的
pipe n.管乐器
pirate n.海盗;每盗船
piston n.活塞
pitch n.人造树脂
plague n.瘟疫，鼠疫;天灾
plain a.坦白的;普通的
plastic a.塑料的;塑性的
plateau n.高原;平稳时期
platform n.政纲，党纲，宣言
plea n.请愿，请求，恳求
plead vt.为…辩护 vi.抗辩
pledge n.誓言 vt.使发誓
pluck vt.鼓起(勇气)，振作
plump vt.丰满的;鼓起的
plunder v.&n.掠夺，劫掠
pneumatic a.空气的;气动的
poke vt.戳，刺;伸(头等)
polar a.南(北)极的;极性的
polarity n.极性;(思想等)归向
politics n.政纲，政见，策略
poll n.投票 vi.投票
polymer n.聚合物，多聚物
