safeguard n.保护措施;护照
salmon n.鲑，大马哈鱼
salute vt.迎接，欢迎
sandwich vt.夹入，挤进
sardine n.沙丁鱼
satellite n.附属物
satisfaction n.快事，乐事;愉快
satisfactorily ad.圆满地
saturation n.饱和(状态);浸透
Saturn n.农神;土星
scan n.扫描，扫掠
scandal n.丑事，丑闻;耻辱
scar n.瘢痕
scarcity n.缺乏，不足，萧条
scarlet n.猩红色 a.猩红的
scheme vt.计划 vi.搞阴谋
scholarship n.学问，学识;奖学金
scoff vt.&vi.嘲笑，嘲弄
scope n.眼界
scorch vi.烧焦，枯萎;挖苦
scout vt.搜索，侦察，跟踪
scramble vi.&n.爬行，攀登
scrap n.碎片;废料 vt.废弃
scratch n.起跑线，起步线
scripture n.《圣经》;圣书
scrub n.&vt.擦洗，擦净
sculpture n.雕刻(术);雕刻品
seam n.缝口;接缝;骨缝
seaport n.海港，港口，港市
seaside n.海滨(胜地);海边
second vt.支持
second-hand n.旧的，第二手的
section n.切下的部分
seemingly ad.表面上，外表上
segment n.切片，部分;段，节
selection n.精选的东西;选择
senator n.参议员;评议员
sensation n.感觉，知觉;轰动
senseless a.愚蠢的，无意义的
sensible a.明显的，感觉得到的
sensitivity n.敏感(性);灵敏性
sensor n.传感器，灵敏元件
sentiment n.感情;情操;情绪
sequence n.序列
sermon n.布道，讲道，说教
serpent n.蛇(尤指大蛇或毒蛇)
set n.集(合)
settlement n.调停;(新)住宅区
severe a.激烈的;简朴的
shabby a.褴褛的;破旧的
shade n.(色彩的)浓淡，深浅
shadowy a.有影的;幽暗的
shady a.可疑的，靠不住的
shaft n.(工具的)柄，杆状物
sham n.假冒;膺品 vt.假装
shame vt.使羞愧，玷辱
shameful a.可耻的;不道德的
shark n.鲨鱼;贪婪狡猾的人
sharply ad.严厉地，苛刻地
shatter vt.粉碎，破碎;毁坏
sheer a.纯粹的;全然的
shell n.炮弹，猎枪子弹
sheriff n.郡长;警察局长
